qETRC操作命令总表,,,,,,
序号,名称,qecmd,撤销,操作合并ID,完成时间,说明
1,删除列车,RemoveTrains,支持,否,2021年7月2日,从TrainListWidget发起的批量删除；2023.08.16 增加删除前清空TrainPath的操作
2,添加运行图页面,AddPage,支持,否,2021年7月2日,从NaviTree添加新的运行图页面
3,导入线路,ImportRailways,支持,否,2021年7月3日,导入指定文件中的所有线路
4,列车排序,SortTrains,支持,100,2021年7月3日,在TrainListWidget中按某一列排序
5,更新基线数据,UpdateRailStations,支持,否,2021年7月4日,在线路数据表中更改基线数据
6,导入车次,-,不支持,,2021年7月4日,导入车次存在覆盖车次、交路变换等复杂操作，因此不支持撤销
7,删除所有车次,-,不支持,,2021年7月4日,此操作通常用在导入新数据集之前的清理工作。如果需要撤销，可以考虑在列车管理面板全选然后删除。
8,显示/隐藏运行线,ChangeTrainShow,支持,否,2021年7月5日,按照行别控制，显示/隐藏上行/下行运行线
9,调整显示类型,ChangeTypeShow,支持,否,2021年7月5日,按列车类型设置运行线显示/隐藏
10,更新时刻表,ChangeTimetable,支持,否,2021年7月8日,在时刻表页面更新列车时刻表
11,删除运行图,RemovePage,支持,否,2021年7月9日,
12,编辑页面信息,EditPageInfo,支持,否,2021年7月9日,编辑运行图名称、注记
13,修改线名,ChangeRailName,支持,否,2021年7月10日,在线路数据表中更改线名
14,添加空白线路,AddRailway,支持,否,2021年7月10日,添加空白新线路，同时打开编辑面板
15,更新列车信息,UpdateTrainInfo,支持,否,2021年7月11日,更新列车信息，例如车次、始发终到等，但不包括时刻表
16,删除单个列车,RemoveSingleTrain,支持,否,2021年7月11日,从导航窗口右键、或者工具栏删除单个列车对象；2023.08.16增加删除前清空列车径路
17,删除线路,RemoveRailway,支持,否,2021年10月15日,删除线路，同时从所有运行图页面中删除线路，并自动删除空白的运行图。V1.0.1起支持撤销
18,新建空白车次,AddNewTrain,支持,否,2021年7月13日,新建空白的列车，同时打开编辑面板
19,更新显示设置,ChangeConfig,支持,否,2021年7月14日,更新全局的运行图显示设置，同时重新铺画运行图
20,更改排图标尺,ChangeOrdinate,支持,否,2021年7月15日,更改指定线路的排图标尺，立即生效，并重新排图
21,更新标尺,UpdateRuler,支持,否,2021年7月22日,更新标尺数据，或者是否上下行分设（但名称不变）
22,更改标尺名称,ChangeRulerName,支持,否,,修改标尺的名称（但数据不变）
23,删除标尺,RemoveRuler,支持,否,,删除指定标尺，如果是排图标尺，同时把该线路排图标尺设为空
24,新建空白标尺,AddNewRuler,支持,否,2021年8月14日,添加空白标尺，同时打开编辑面板
25,全局更改站名,ChangeStationNameGlobal,支持,否,2021年8月15日,全局范围内，将旧站名更改为新站名，影响线路站表和时刻表的站名
26,批量复制运行线,BatchAddTrains,支持,否,2021年8月19日,按照首站时刻，将指定车次复制一系列的运行线
27,更改天窗数据,UpdateForbidData,支持,否,2021年8月20日,更新天窗的数据，同时更改图上的天窗
28,切换天窗显示状态,ToggleForbidShow,支持,否,2021年8月22日,显示或隐藏指定方向的天窗
29,切换单车次显示状态,ChangeSingleTrainShow,支持,否,2021年8月24日,单车次显示情况切换，主要是从列车管理的列表切换
30,更改交路信息,ChangeRoutingInfo,支持,否,2021年8月25日,更改交路信息，但不更改车次序列
31,更改交路序列,ChangeRoutingOrder,支持,否,2021年8月26日,更改交路序列以及信息
32,添加交路,AddRouting,支持,否,2021年8月27日,添加单个（空白）交路
33,删除交路,RemoveRouting,支持,否,2021年8月27日,删除（单个）交路
34,更改类型表,ChangeTypeSet,支持,否,2021年8月31日,更改列车类型的查找表、颜色、线宽等，包括用于当前运行图和默认设置两种
35,更改类型规则,ChangeTypeRegex,支持,否,2021年8月31日,更改列车类型的车次正则表达式，包括用于当前运行图的和默认设置的。
36,筛选显示车次,ChangeTrainShowByFilter,支持,否,2021年9月2日,从列车筛选器，筛选显示运行线的列车。同一个操作可能同时包含隐藏和显示部分运行线。
37,删除所有车次和交路,,不支持,,2021年9月3日,
38,自动推断类型,AutoTrainType,支持,否,2021年9月5日,根据类型管理器，由全车次，通过正则表达式，推定所有列车类型
39,时刻表插值,TimetableInterpolation,支持,否,2021年9月11日,使用时刻表插值功能，对通过站时刻进行推定。
40,更新线路站表-数据库,UpdateRailStationsDB,支持,否,2021年9月14日,在线路数据库中，修改线路的站表
41,更新线路名称-数据库,UpdateRailNameDB,支持,否,2021年9月15日,
42,删除线路-数据库,RemoveRailDB,支持,否,2021年9月15日,
43,新建线路-数据库,InsertRailDB,支持,否,2021年9月15日,
44,修改天窗-数据库,UpdateForbidDB,支持,否,2021年9月15日,
45,修改线路备注,UpdateRailNote,支持,否,2021年9月16日,更新线路备注 （作者，版本）
46,修改线路备注-数据库,UpdateRailNoteDB,支持,否,2021年9月16日,
47,添加标尺-数据库,AddNewRulerDB,支持,否,2021年9月16日,
48,修改标尺数据-数据库,UpdateRulerDataDB,支持,否,2021年9月16日,
49,修改标尺名-数据库,ChangeRulerNameDB,支持,否,2021年9月16日,
50,删除标尺-数据库,RemoveRulerDB,支持,否,2021年9月16日,
51,自动营业站,AutoBusiness,支持,否,2021年9月20日,根据线路车站的办客/办货信息以及列车是否为客车的信息，自动配置列车在每个站是否营业
52,修改运行图页面显示设置,ChangePageConfig,支持,否,2021年10月8日,修改指定页面（而不是全局）的显示设置
53,应用运行图显示设置到页面,ApplyConfigToPages,支持,否,2021年10月9日,
54,修改运行图页面数据,ResetPage,支持,否,2021年10月15日,修改运行图页面的线路、名称、备注。基本相当于重新建一张运行图页面。
55,批量分类,BatchChangeType,支持,否,2022年2月6日,在列车管理页面，对选定车次批量分类
56,更改运行图显示比例,ChangePageScale,支持,102,2022年5月22日,和ChangePageConfig的实质行为一致，但支持操作合并
57,新建预置列车筛选器,AddTrainFilter,支持,否,2023年1月21日,
58,删除预置列车筛选器,RemoveTrainFilter,支持,否,2023年1月21日,
59,更新列车筛选器,UpdateTrainFilter,支持,否,2023年1月21日,
60,时刻表快速插值,TimetableInterpolationSimple,支持,否,2023年2月3日,和ChangeTimetable实质上一致。快速推定列车在本线的跨越站时刻。
61,列车时刻微调,AdjustTrainStationTime,支持,101,,速览时刻中微调时刻（本行补档）
62,拖动时刻,DragTrainStationTime,支持,103,2023年6月2日,和AdjustTrainStationTime类似，拖动调整单个车站时刻
63,添加列车径路,AddTrainPath,支持,否,2023年8月12日,
64,删除列车径路,RemoveTrainPath,支持,否,2023年8月12日,2023.08.16增加删除前清空列车
65,修改列车径路,UpdateTrainPath,支持,否,2023年8月15日,
66,指定列车所属径路,AssignPathsToTrain,支持,否,2023年8月16日,指定（多个）列车径路到单一车次
67,移除列车所属径路,RemovePathsFromTrain,支持,否,2023年8月16日,从单一列车移除（多个）列车径路
68,清空列车所属径路,ClearPathsFromTrain,支持,否,2023年8月16日,清空指定（单一）列车的所属径路，即回到自动状态
69,重新铺画列车（仅限由径路铺画的）,RebindTrainsByPath,支持,否,2023年8月22日,通常与其他cmd伴随使用。重新铺画一组列车的运行线，仅限于使用TrainPath铺画的，不包含自动运行线的。
70,添加列车到径路,AddTrainsToPath,支持,否,2023年8月26日,添加多个列车到同一个列车径路
71,自动列车运行线样式,AutoTrainPen,支持,否,2024年3月17日,自动设置列车运行线的样式，即取消列车单独的运行线设置
72,拖动平移时刻,DragNonLocalTime,支持,104,2024年3月26日,按住Shift条件下拖动调整时刻，实现部分平移运行线
73,批量修改运行线样式,ChangeTrainPen,支持,否,2025年2月1日,批量修改所选一组车次的运行线样式为所设样式
74,批量取消自动运行线样式,ManualTrainPen,支持,否,2025年2月1日,AutoTrainPen的逆操作，设置所选/所有列车运行线格式为手动
75,修改周期小时数,ChangePeriodHours,支持,否,2025年7月21日,更改运行图周期小时数。注意此操作的影响范围不定，操作后应立即重启程序。
